RunMapReduceFramework started with 10 threads
Thread ExecMap created [03.06.2017 18:13:30]
Thread ExecMap created [03.06.2017 18:13:30]
Thread ExecMap terminated [03.06.2017 18:13:30]
Thread ExecMap created [03.06.2017 18:13:30]
Thread ExecMap terminated [03.06.2017 18:13:30]
Thread ExecMap created [03.06.2017 18:13:30]
Thread ExecMap terminated [03.06.2017 18:13:30]
Thread ExecMap created [03.06.2017 18:13:30]
Thread ExecMap terminated [03.06.2017 18:13:30]
Thread ExecMap created [03.06.2017 18:13:30]
Thread ExecMap terminated [03.06.2017 18:13:30]
Thread ExecMap created [03.06.2017 18:13:30]
Thread ExecMap terminated [03.06.2017 18:13:30]
Thread ExecMap terminated [03.06.2017 18:13:30]
Thread ExecMap created [03.06.2017 18:13:30]
Thread ExecMap terminated [03.06.2017 18:13:30]
Thread ExecMap created [03.06.2017 18:13:30]
Thread ExecMap terminated [03.06.2017 18:13:30]
Thread ExecMap created [03.06.2017 18:13:30]
Thread ExecMap terminated [03.06.2017 18:13:30]
Thread Shuffle created [03.06.2017 18:13:30]
Thread Shuffle terminated [03.06.2017 18:13:30]
Map and Shuffle took 785000.000000ns
Thread ExecReduce created [03.06.2017 18:13:30]
Thread ExecReduce terminated [03.06.2017 18:13:30]
Thread ExecReduce created [03.06.2017 18:13:30]
Thread ExecReduce terminated [03.06.2017 18:13:30]
Thread ExecReduce created [03.06.2017 18:13:30]
Thread ExecReduce terminated [03.06.2017 18:13:30]
Thread ExecReduce created [03.06.2017 18:13:30]
Thread ExecReduce terminated [03.06.2017 18:13:30]
Thread ExecReduce created [03.06.2017 18:13:30]
Thread ExecReduce terminated [03.06.2017 18:13:30]
Thread ExecReduce created [03.06.2017 18:13:30]
Thread ExecReduce terminated [03.06.2017 18:13:30]
Thread ExecReduce created [03.06.2017 18:13:30]
Thread ExecReduce terminated [03.06.2017 18:13:30]
Thread ExecReduce created [03.06.2017 18:13:30]
Thread ExecReduce terminated [03.06.2017 18:13:30]
Thread ExecReduce created [03.06.2017 18:13:30]
Thread ExecReduce terminated [03.06.2017 18:13:30]
Thread ExecReduce created [03.06.2017 18:13:30]
Thread ExecReduce terminated [03.06.2017 18:13:30]
Reduce took 308000.000000ns
RunMapReduceFramework finished
